,Retailers: Inventories to Sales Ratio,Total Business: Inventories to Sales Ratio,Total Business Inventories,Exchange Rates (Value of Foreign Currency Relative to U.S. Dollar) in Belgium (DISCONTINUED),Employment in Manufacturing in the United Kingdom (DISCONTINUED),"Real Hourly Compensation in Manufacturing, CPI Basis, in Italy (DISCONTINUED)",Chicago Fed Midwest Manufacturing Index (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Steel Sector Output (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Resource Sector Output (DISCONTINUED),Current General Business Conditions; Diffusion Index for New York,Future Capital Expenditures; Diffusion Index for New York,Current New Orders; Diffusion Index for New York,Current General Activity; Diffusion Index for Federal Reserve District 3: Philadelphia,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia,Future New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current Prices Paid; Diffusion Index for Federal Reserve District 3: Philadelphia,"Current Number of Part-Time, Temporary, and Contract Employees; Percent of Respondents Reporting Decreases for Federal Reserve District 3: Philadelphia",Current General Business Activity; Diffusion Index for Texas,Current Prices Paid for Raw Materials; Percentage Reporting Increases for Texas,Future Prices Paid for Raw Materials; Diffusion Index for Texas
2015-07-01,1.44,1.38,1820678.0,,,,,,,1.7,21.3,-5.0,4.6,9.4,45.6,5.1,19.0,24.1,-5.1,11.6,21.7
2015-08-01,1.45,1.4,1823338.0,,,,,,,-13.9,17.3,-14.6,5.5,16.5,39.1,21.1,23.4,19.2,-16.9,9.7,17.1
2015-09-01,1.47,1.4,1827080.0,,,,,,,-12.7,11.3,-11.9,-3.7,26.5,41.1,21.0,19.7,9.3,-10.3,13.2,17.2
2015-10-01,1.49,1.41,1829859.0,,,,,,,-13.7,12.3,-15.3,-4.9,7.9,36.5,27.0,18.1,11.7,-14.3,11.1,16.2
2015-11-01,1.48,1.42,1826349.0,,,,,,,-9.7,12.7,-11.4,-3.5,25.0,44.2,18.4,19.5,,-5.5,10.5,22.6
2015-12-01,1.48,1.43,1822793.0,,,,,,,-5.9,16.2,-6.1,-9.2,9.0,29.5,23.8,21.6,,-21.6,7.8,15.1
2016-01-01,1.5,1.44,1822766.0,,,,,,,-16.6,15.0,-20.6,-4.5,10.5,20.9,15.7,15.2,10.3,-35.7,14.7,9.2
2016-02-01,1.49,1.43,1818023.0,,,,,,,-12.9,12.9,-10.0,-4.8,4.4,19.9,16.8,21.3,11.1,-32.8,7.8,9.8
2016-03-01,1.51,1.43,1824047.0,,,,,,,-2.5,15.8,3.0,8.3,11.1,35.2,16.3,5.1,15.1,-11.8,16.8,17.0
2016-04-01,1.5,1.43,1829532.0,,,,,,,8.9,22.1,10.7,-1.7,11.3,44.0,10.8,13.1,11.3,-11.8,19.4,18.9
2016-05-01,1.5,1.43,1834672.0,,,,,,,-7.4,3.1,-2.8,-5.5,21.9,40.7,19.8,19.9,13.3,-17.4,27.9,18.7
2016-06-01,1.49,1.41,1835501.0,,,,,,,3.1,11.2,6.6,4.3,9.6,38.8,8.3,22.4,12.7,-17.5,24.8,15.4
2016-07-01,1.5,1.42,1836873.0,,,,,,,1.4,11.0,-1.5,1.5,13.2,35.9,29.0,21.4,11.1,0.4,18.0,17.6
2016-08-01,1.5,1.42,1836994.0,,,,,,,-5.6,4.1,0.7,5.0,18.6,42.3,12.8,9.3,7.7,-5.7,18.9,22.4
2016-09-01,1.49,1.41,1840016.0,,,,,,,-1.6,10.7,-6.4,12.3,10.8,37.1,9.3,29.1,13.1,-2.7,18.5,24.8
2016-10-01,1.49,1.41,1841542.0,,,,,,,-9.5,13.2,-2.8,10.9,22.9,40.4,10.8,17.4,14.0,-1.4,18.3,26.4
2016-11-01,1.5,1.42,1853164.0,,,,,,,1.9,12.7,2.9,10.4,19.5,35.6,13.0,18.0,6.3,12.2,16.2,34.6
2016-12-01,1.48,1.39,1857230.0,,,,,,,9.6,21.7,9.3,22.3,31.3,44.1,26.0,20.5,7.3,18.0,25.9,39.7
2017-01-01,1.47,1.39,1861290.0,,,,,,,7.5,25.2,6.8,24.1,22.2,51.5,28.5,24.9,10.9,22.4,32.2,36.3
2017-02-01,1.48,1.39,1864251.0,,,,,,,20.1,22.4,13.5,42.2,22.2,48.7,23.6,18.2,13.9,23.2,36.8,35.2
2017-03-01,1.49,1.4,1867559.0,,,,,,,15.6,23.9,17.0,29.7,32.6,58.2,19.5,13.9,11.1,17.0,33.0,40.6
2017-04-01,1.48,1.39,1866023.0,,,,,,,6.2,27.7,9.9,22.1,35.1,56.3,27.6,32.0,6.2,17.5,30.6,27.2
2017-05-01,1.49,1.4,1870152.0,,,,,,,0.7,13.4,-2.2,33.8,34.2,50.3,14.0,14.8,7.3,19.8,29.2,27.3
