,Producer Price Index by Commodity: All Commodities,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Producer Price Index by Industry: Plastics Material and Resin Manufacturing
1993-11-01,119.0,98.8,131.9
1993-12-01,118.6,98.5,131.9
1994-01-01,119.1,100.9,130.8
1994-02-01,119.3,101.1,130.4
1994-03-01,119.7,103.3,130.3
1994-04-01,119.7,106.7,132.1
1994-05-01,119.9,108.3,133.2
1994-06-01,120.5,112.6,134.6
1994-07-01,120.7,113.5,135.3
1994-08-01,121.2,118.9,136.9
1994-09-01,121.0,123.4,141.1
1994-10-01,120.9,131.6,146.3
1994-11-01,121.5,134.3,148.8
1994-12-01,121.9,136.0,152.6
1995-01-01,122.9,144.6,156.9
1995-02-01,123.5,158.8,160.6
1995-03-01,123.9,168.4,161.5
1995-04-01,124.6,173.7,164.5
1995-05-01,124.9,181.1,164.7
1995-06-01,125.3,191.7,164.5
1995-07-01,125.3,196.3,162.7
1995-08-01,125.1,200.5,160.8
1995-09-01,125.2,198.2,158.2
1995-10-01,125.3,198.7,154.6
1995-11-01,125.4,195.4,151.1
1995-12-01,125.7,191.3,147.8
1996-01-01,126.3,176.6,146.1
1996-02-01,126.2,160.4,144.7
1996-03-01,126.4,141.4,145.0
1996-04-01,127.4,120.3,144.4
1996-05-01,128.1,114.1,147.2
1996-06-01,128.0,120.0,148.7
1996-07-01,128.0,125.5,149.8
1996-08-01,128.3,127.3,151.9
1996-09-01,128.2,127.8,154.4
1996-10-01,128.0,128.2,154.5
1996-11-01,128.2,127.6,154.6
1996-12-01,129.1,128.2,154.2
1997-01-01,129.7,127.4,154.1
1997-02-01,128.5,125.2,154.8
1997-03-01,127.3,124.5,155.6
1997-04-01,127.0,121.9,155.6
1997-05-01,127.4,123.5,155.5
1997-06-01,127.2,125.5,156.0
1997-07-01,126.9,130.0,155.7
1997-08-01,127.2,132.7,154.0
1997-09-01,127.5,133.3,152.4
1997-10-01,127.8,133.2,152.3
1997-11-01,127.9,132.8,151.1
1997-12-01,126.8,133.4,150.3
1998-01-01,125.4,130.7,150.4
1998-02-01,125.0,127.8,147.6
1998-03-01,124.7,126.4,145.1
1998-04-01,124.9,121.5,144.4
1998-05-01,125.1,120.8,142.6
1998-06-01,124.8,123.9,140.1
1998-07-01,124.9,126.1,138.3
1998-08-01,124.2,123.3,137.0
1998-09-01,123.8,121.1,133.2
1998-10-01,124.0,116.9,131.8
1998-11-01,123.6,116.1,130.4
1998-12-01,122.8,116.7,129.2
1999-01-01,122.9,112.7,130.1
1999-02-01,122.3,112.3,129.7
1999-03-01,122.6,113.8,130.8
1999-04-01,123.6,113.0,132.3
1999-05-01,124.7,114.1,136.2
1999-06-01,125.2,116.0,137.5
1999-07-01,125.7,121.6,142.6
1999-08-01,126.9,123.7,144.3
1999-09-01,128.0,125.1,147.9
1999-10-01,127.7,125.8,161.3
1999-11-01,128.3,128.1,161.3
1999-12-01,127.8,130.8,159.1
2000-01-01,128.3,137.3,158.3
2000-02-01,129.8,136.7,159.5
2000-03-01,130.8,139.2,163.2
2000-04-01,130.7,141.4,164.3
2000-05-01,131.6,143.4,167.5
2000-06-01,133.8,145.6,167.0
2000-07-01,133.7,148.5,167.3
2000-08-01,132.9,149.1,167.8
2000-09-01,134.7,150.2,163.7
2000-10-01,135.4,151.0,166.0
2000-11-01,135.0,151.3,164.3
2000-12-01,136.2,150.2,162.9
2001-01-01,140.0,146.3,165.6
2001-02-01,137.4,143.0,167.1
2001-03-01,135.9,138.4,169.3
2001-04-01,136.4,134.2,169.6
2001-05-01,136.8,128.6,167.6
2001-06-01,135.5,124.7,165.3
2001-07-01,133.4,120.7,160.4
2001-08-01,133.4,117.8,155.6
2001-09-01,133.3,115.4,150.6
2001-10-01,130.3,112.8,151.5
2001-11-01,129.8,113.5,149.9
2001-12-01,128.1,113.7,146.3
2002-01-01,128.5,114.5,142.7
2002-02-01,128.4,113.8,141.2
2002-03-01,129.8,113.2,141.7
2002-04-01,130.8,113.1,143.0
2002-05-01,130.8,113.5,144.1
2002-06-01,130.9,115.3,146.2
2002-07-01,131.2,116.7,153.4
2002-08-01,131.5,118.4,154.2
2002-09-01,132.3,119.1,154.3
2002-10-01,133.2,119.6,156.6
2002-11-01,133.1,119.4,155.1
2002-12-01,132.9,117.9,153.9
2003-01-01,135.3,115.4,157.8
2003-02-01,137.6,115.5,164.2
2003-03-01,141.2,115.9,172.7
2003-04-01,136.8,119.8,176.3
2003-05-01,136.7,123.3,175.4
2003-06-01,138.0,125.2,171.3
2003-07-01,137.7,124.5,166.9
2003-08-01,138.0,122.6,164.6
2003-09-01,138.5,122.2,166.2
2003-10-01,139.3,122.0,167.6
2003-11-01,138.9,124.8,166.2
2003-12-01,139.5,125.1,164.8
2004-01-01,141.4,126.3,169.0
2004-02-01,142.1,125.5,172.9
2004-03-01,143.1,125.8,174.7
2004-04-01,144.8,128.2,179.1
2004-05-01,146.8,130.5,180.4
2004-06-01,147.2,132.3,185.7
2004-07-01,147.4,136.2,189.2
2004-08-01,148.0,137.3,195.2
2004-09-01,147.7,137.9,203.8
2004-10-01,150.0,136.6,212.2
2004-11-01,151.4,135.4,219.4
2004-12-01,150.2,134.2,222.1
2005-01-01,150.9,134.9,226.6
2005-02-01,151.6,136.4,226.9
2005-03-01,153.7,138.3,229.1
2005-04-01,155.0,140.0,230.6
2005-05-01,154.3,138.6,226.3
2005-06-01,154.3,138.8,219.9
2005-07-01,156.3,139.1,218.7
2005-08-01,157.6,139.4,217.1
2005-09-01,162.2,137.8,223.0
2005-10-01,166.2,137.1,238.6
2005-11-01,163.7,137.2,244.3
2005-12-01,163.0,138.1,241.2
2006-01-01,164.3,137.8,240.0
2006-02-01,161.8,141.1,236.4
2006-03-01,162.2,141.2,235.4
2006-04-01,164.3,142.2,231.6
